date_np,bars,volume,open,high,low,close
2026-03-24,1,9545,308,309,307.3,308
2026-03-25,198,468970,309.9,309.9,299,302
2026-03-26,197,400064,296,305,296,304.9
2026-03-29,219,547794,304.9,305,291.2,291.9
2026-03-30,204,524734,292.1,295.1,282.1,283.6
2026-03-31,206,401301,285,290.7,278.2,285
2026-04-01,191,449822,282,285,270,272
2026-04-02,201,304627,270,278.4,265,271.9
2026-04-05,207,472952,272,272,257.9,257.9
2026-04-06,203,351747,253,277,253,272
2026-04-07,176,287220,275,277.9,269,270
2026-04-08,148,192682,275,278,272,277.5
2026-04-09,183,266185,278,285,275,282
2026-04-10,154,225775,280,284,274,276
2026-04-13,145,158325,275,281,272,278
2026-04-15,199,380076,279,291,278.3,286.5
2026-04-16,174,267302,292.2,292.2,276,276.9
2026-04-17,144,214197,280.9,283,275,282
2026-04-20,115,105502,280.1,281.6,275,278
2026-04-21,116,107684,278,279.8,272,272.1
2026-04-22,136,171776,258.5,278,258.5,275
2026-04-23,118,158300,272,275.5,267,268
2026-04-24,123,117700,272,272,263.5,268
